# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.171249399999999996e+00,8.274360000000000048e-02
2.000000000000000000e+02,1.541517500000000096e+00,9.216340000000000643e-02
5.000000000000000000e+02,1.922541999999999973e+00,6.565540000000000265e-02
1.000000000000000000e+03,2.101036300000000079e+00,7.187050000000000383e-02
2.000000000000000000e+03,2.329142099999999882e+00,5.534010000000000318e-02
5.000000000000000000e+03,2.545488999999999891e+00,5.690989999999999938e-02
1.000000000000000000e+04,2.650053799999999793e+00,3.919319999999999748e-02
2.000000000000000000e+04,2.756574800000000103e+00,3.288019999999999832e-02
5.000000000000000000e+04,2.853376599999999819e+00,2.764389999999999903e-02
1.000000000000000000e+05,2.892622199999999921e+00,2.123939999999999856e-02
1.000000000000000000e+06,3.015886800000000090e+00,3.231540000000000107e-02
