# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.870000000000000053e-05,7.615000000000000241e-04
2.000000000000000000e+02,2.489999999999999877e-05,8.792000000000000119e-04
5.000000000000000000e+02,9.330000000000000457e-05,1.700600000000000028e-03
1.000000000000000000e+03,2.052000000000000005e-04,2.517899999999999999e-03
2.000000000000000000e+03,4.383999999999999768e-04,3.718599999999999857e-03
5.000000000000000000e+03,9.887999999999999654e-04,5.526699999999999842e-03
1.000000000000000000e+04,1.999400000000000135e-03,7.901299999999999990e-03
2.000000000000000000e+04,3.846500000000000093e-03,1.102020000000000083e-02
5.000000000000000000e+04,9.739100000000000534e-03,1.741089999999999999e-02
1.000000000000000000e+05,1.936939999999999842e-02,2.475750000000000173e-02
