# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.135309000000000040e-01,5.895999999999999852e-02
2.000000000000000000e+02,2.258892000000000122e-01,8.474869999999999626e-02
5.000000000000000000e+02,5.503244999999999942e-01,1.237161999999999984e-01
1.000000000000000000e+03,1.065859499999999960e+00,1.678852000000000122e-01
2.000000000000000000e+03,1.946722400000000075e+00,2.350584000000000007e-01
5.000000000000000000e+03,3.925014899999999862e+00,2.897063000000000277e-01
1.000000000000000000e+04,5.863679900000000167e+00,3.084768999999999983e-01
2.000000000000000000e+04,7.711324199999999962e+00,2.646054999999999935e-01
5.000000000000000000e+04,9.684895600000000826e+00,2.277314000000000005e-01
1.000000000000000000e+05,1.089662769999999981e+01,2.167766000000000137e-01
1.000000000000000000e+06,1.369950009999999985e+01,1.423915000000000042e-01
