# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.094000000000000221e-04,3.816799999999999967e-03
2.000000000000000000e+02,8.519000000000000530e-04,4.962000000000000265e-03
5.000000000000000000e+02,2.449300000000000175e-03,8.452899999999999303e-03
1.000000000000000000e+03,4.944600000000000384e-03,1.184870000000000020e-02
2.000000000000000000e+03,1.003590000000000038e-02,1.708799999999999902e-02
5.000000000000000000e+03,2.526110000000000161e-02,2.731530000000000069e-02
1.000000000000000000e+04,4.922130000000000255e-02,3.701709999999999723e-02
2.000000000000000000e+04,9.689989999999999715e-02,4.569800000000000251e-02
5.000000000000000000e+04,2.222601999999999911e-01,6.647509999999999530e-02
1.000000000000000000e+05,3.967084000000000166e-01,8.609459999999999336e-02
