# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.973000000000000165e-04,3.442600000000000087e-03
2.000000000000000000e+02,7.707999999999999791e-04,5.493099999999999893e-03
5.000000000000000000e+02,1.838900000000000083e-03,8.571000000000000493e-03
1.000000000000000000e+03,3.505600000000000209e-03,1.178760000000000051e-02
2.000000000000000000e+03,7.132399999999999678e-03,1.667580000000000104e-02
5.000000000000000000e+03,1.852940000000000142e-02,2.720509999999999942e-02
1.000000000000000000e+04,3.550949999999999940e-02,3.698599999999999804e-02
2.000000000000000000e+04,7.270139999999999936e-02,5.366630000000000011e-02
5.000000000000000000e+04,1.727392000000000094e-01,7.232819999999999527e-02
1.000000000000000000e+05,3.500970999999999944e-01,1.010429000000000049e-01
