# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.309400000000000102e-03,7.244200000000000118e-03
2.000000000000000000e+02,6.192500000000000088e-03,1.000419999999999955e-02
5.000000000000000000e+02,1.586229999999999932e-02,1.401669999999999999e-02
1.000000000000000000e+03,3.056220000000000117e-02,1.882409999999999986e-02
2.000000000000000000e+03,6.057560000000000028e-02,2.593519999999999853e-02
5.000000000000000000e+03,1.449996000000000063e-01,4.034159999999999829e-02
1.000000000000000000e+04,2.712019999999999986e-01,5.170149999999999746e-02
2.000000000000000000e+04,4.753496999999999861e-01,6.181409999999999683e-02
5.000000000000000000e+04,8.121268999999999849e-01,6.609489999999999810e-02
1.000000000000000000e+05,1.071790999999999938e+00,6.323779999999999679e-02
1.000000000000000000e+06,1.732868400000000086e+00,5.081669999999999937e-02
