# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.830000000000000097e-05,4.433999999999999899e-04
2.000000000000000000e+02,5.059999999999999665e-05,7.360999999999999488e-04
5.000000000000000000e+02,1.065000000000000002e-04,1.065500000000000041e-03
1.000000000000000000e+03,2.508000000000000246e-04,1.651799999999999926e-03
2.000000000000000000e+03,4.885999999999999501e-04,2.301699999999999840e-03
5.000000000000000000e+03,1.202100000000000000e-03,3.550199999999999884e-03
1.000000000000000000e+04,2.263300000000000207e-03,4.963099999999999803e-03
2.000000000000000000e+04,4.849400000000000238e-03,7.267100000000000296e-03
5.000000000000000000e+04,1.173440000000000073e-02,1.118470000000000054e-02
1.000000000000000000e+05,2.365940000000000057e-02,1.396900000000000051e-02
