# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.736999999999999850e-04,3.087299999999999853e-03
2.000000000000000000e+02,5.406999999999999697e-04,4.350800000000000153e-03
5.000000000000000000e+02,1.161600000000000046e-03,6.414000000000000430e-03
1.000000000000000000e+03,2.647399999999999840e-03,9.530300000000000230e-03
2.000000000000000000e+03,5.320199999999999756e-03,1.361960000000000080e-02
5.000000000000000000e+03,1.268979999999999934e-02,2.067980000000000165e-02
1.000000000000000000e+04,2.529059999999999989e-02,2.965699999999999933e-02
2.000000000000000000e+04,5.084090000000000137e-02,4.171790000000000220e-02
5.000000000000000000e+04,1.257016999999999995e-01,6.590959999999999874e-02
1.000000000000000000e+05,2.469717999999999913e-01,8.329200000000000492e-02
