# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.246000000000000112e-04,2.798500000000000206e-03
2.000000000000000000e+02,5.159000000000000174e-04,4.223499999999999824e-03
5.000000000000000000e+02,1.372200000000000069e-03,6.963300000000000392e-03
1.000000000000000000e+03,2.456600000000000190e-03,9.291499999999999412e-03
2.000000000000000000e+03,5.534299999999999810e-03,1.385330000000000068e-02
5.000000000000000000e+03,1.289689999999999934e-02,2.131900000000000114e-02
1.000000000000000000e+04,2.600080000000000099e-02,3.044389999999999943e-02
2.000000000000000000e+04,5.104009999999999797e-02,4.209360000000000185e-02
5.000000000000000000e+04,1.290390999999999899e-01,6.689050000000000551e-02
1.000000000000000000e+05,2.486345000000000083e-01,8.247549999999999326e-02
