# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.456599999999999952e-03,1.041019999999999966e-02
2.000000000000000000e+02,3.070900000000000105e-03,1.498400000000000079e-02
5.000000000000000000e+02,7.215400000000000286e-03,2.317419999999999897e-02
1.000000000000000000e+03,1.446839999999999932e-02,3.313569999999999710e-02
2.000000000000000000e+03,2.918460000000000151e-02,4.722520000000000190e-02
5.000000000000000000e+03,7.092850000000000543e-02,7.250460000000000238e-02
1.000000000000000000e+04,1.396535999999999889e-01,1.015032000000000018e-01
2.000000000000000000e+04,2.749622999999999928e-01,1.422691000000000094e-01
5.000000000000000000e+04,6.718296000000000268e-01,1.974573000000000023e-01
1.000000000000000000e+05,1.266738799999999943e+00,2.512892999999999932e-01
