# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.152137000000000078e-01,7.881660000000000055e-02
2.000000000000000000e+02,3.786986999999999992e-01,9.840780000000000360e-02
5.000000000000000000e+02,8.551539999999999697e-01,1.224993000000000054e-01
1.000000000000000000e+03,1.501938599999999902e+00,1.629140000000000033e-01
2.000000000000000000e+03,2.293287499999999923e+00,1.817416000000000031e-01
5.000000000000000000e+03,3.998439999999999994e+00,2.701439999999999952e-01
1.000000000000000000e+04,5.741742999999999597e+00,2.519294999999999729e-01
2.000000000000000000e+04,7.204555700000000229e+00,2.252443000000000084e-01
5.000000000000000000e+04,8.377004200000000012e+00,1.651321000000000039e-01
1.000000000000000000e+05,8.969647699999999446e+00,1.559958999999999929e-01
1.000000000000000000e+06,1.007893999999999934e+01,1.178521000000000013e-01
