# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.732000000000000183e-04,2.880800000000000201e-03
2.000000000000000000e+02,7.173000000000000339e-04,4.063500000000000272e-03
5.000000000000000000e+02,1.888200000000000035e-03,6.459200000000000011e-03
1.000000000000000000e+03,3.758399999999999849e-03,9.216099999999999640e-03
2.000000000000000000e+03,7.040900000000000110e-03,1.250949999999999979e-02
5.000000000000000000e+03,1.799900000000000111e-02,1.997940000000000133e-02
1.000000000000000000e+04,3.725599999999999745e-02,2.470989999999999992e-02
2.000000000000000000e+04,7.104599999999999804e-02,3.351239999999999775e-02
5.000000000000000000e+04,1.548545000000000060e-01,4.761230000000000323e-02
1.000000000000000000e+05,2.794033000000000211e-01,6.126580000000000220e-02
