# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.021999999999999834e-04,4.204900000000000131e-03
2.000000000000000000e+02,1.494899999999999961e-03,5.741600000000000349e-03
5.000000000000000000e+02,3.590900000000000168e-03,8.872899999999999537e-03
1.000000000000000000e+03,7.440900000000000292e-03,1.286950000000000073e-02
2.000000000000000000e+03,1.547169999999999969e-02,1.841790000000000094e-02
5.000000000000000000e+03,3.559129999999999933e-02,2.409009999999999971e-02
1.000000000000000000e+04,7.021280000000000576e-02,3.417180000000000217e-02
2.000000000000000000e+04,1.313155000000000017e-01,4.453789999999999832e-02
5.000000000000000000e+04,2.773930000000000007e-01,6.128279999999999839e-02
1.000000000000000000e+05,4.461179000000000117e-01,6.681990000000000152e-02
