# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.110219999999999846e-02,2.525049999999999864e-02
2.000000000000000000e+02,7.734159999999999646e-02,3.481209999999999860e-02
5.000000000000000000e+02,1.835758000000000112e-01,5.849519999999999720e-02
1.000000000000000000e+03,3.923724000000000101e-01,5.501779999999999865e-02
2.000000000000000000e+03,8.308946000000000387e-01,1.375395000000000090e-01
5.000000000000000000e+03,1.771078699999999895e+00,9.933899999999999675e-02
1.000000000000000000e+04,2.329952899999999882e+00,7.623710000000000209e-02
2.000000000000000000e+04,2.547275400000000189e+00,6.626479999999999870e-02
5.000000000000000000e+04,2.670707499999999790e+00,3.486029999999999685e-02
1.000000000000000000e+05,2.704644699999999791e+00,2.468810000000000102e-02
1.000000000000000000e+06,2.747749999999999915e+00,7.589699999999999572e-03
