# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.329969999999999937e-02,3.460019999999999762e-02
2.000000000000000000e+02,2.788639999999999869e-02,5.010479999999999795e-02
5.000000000000000000e+02,6.758870000000000156e-02,7.858080000000000620e-02
1.000000000000000000e+03,1.399770999999999932e-01,1.116575000000000067e-01
2.000000000000000000e+03,2.684332999999999858e-01,1.388099999999999890e-01
5.000000000000000000e+03,7.012374000000000107e-01,2.151453999999999867e-01
1.000000000000000000e+04,1.402131000000000016e+00,2.873403999999999958e-01
2.000000000000000000e+04,2.642437300000000100e+00,4.079950999999999994e-01
5.000000000000000000e+04,5.670440900000000006e+00,4.800070000000000170e-01
1.000000000000000000e+05,8.031954400000000049e+00,4.085004999999999886e-01
1.000000000000000000e+06,1.235080319999999965e+01,2.775231000000000225e-01
