# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.539999999999999813e-05,1.208400000000000099e-03
2.000000000000000000e+02,7.129999999999999836e-05,1.369800000000000011e-03
5.000000000000000000e+02,1.768999999999999902e-04,2.153500000000000032e-03
1.000000000000000000e+03,3.668999999999999736e-04,3.090499999999999931e-03
2.000000000000000000e+03,7.232999999999999629e-04,4.341499999999999873e-03
5.000000000000000000e+03,1.956100000000000113e-03,7.152200000000000051e-03
1.000000000000000000e+04,3.642900000000000131e-03,9.861399999999999333e-03
2.000000000000000000e+04,7.570900000000000199e-03,1.418479999999999915e-02
5.000000000000000000e+04,1.742509999999999892e-02,1.879470000000000099e-02
1.000000000000000000e+05,3.784640000000000226e-02,2.742419999999999927e-02
