# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.116299999999999820e-03,9.700200000000000836e-03
2.000000000000000000e+02,8.600500000000000506e-03,1.431490000000000019e-02
5.000000000000000000e+02,2.073619999999999977e-02,2.180069999999999925e-02
1.000000000000000000e+03,4.109990000000000171e-02,3.077859999999999971e-02
2.000000000000000000e+03,8.235439999999999428e-02,3.821770000000000028e-02
5.000000000000000000e+03,1.924221999999999877e-01,5.682070000000000176e-02
1.000000000000000000e+04,3.473731999999999931e-01,7.196199999999999819e-02
2.000000000000000000e+04,6.019434000000000173e-01,9.209040000000000281e-02
5.000000000000000000e+04,1.173209399999999958e+00,1.196385999999999977e-01
1.000000000000000000e+05,1.748018800000000095e+00,1.186886000000000052e-01
1.000000000000000000e+06,3.653084199999999893e+00,1.075673000000000046e-01
