# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.271120000000000062e-02,1.873949999999999921e-02
2.000000000000000000e+02,2.516490000000000046e-02,2.596000000000000044e-02
5.000000000000000000e+02,6.253079999999999750e-02,3.548810000000000159e-02
1.000000000000000000e+03,1.211064000000000029e-01,4.996620000000000228e-02
2.000000000000000000e+03,2.331849000000000005e-01,6.555840000000000278e-02
5.000000000000000000e+03,5.061208000000000373e-01,9.346709999999999741e-02
1.000000000000000000e+04,8.874916999999999945e-01,1.254485999999999934e-01
2.000000000000000000e+04,1.520551699999999951e+00,1.434059000000000028e-01
5.000000000000000000e+04,2.705728500000000203e+00,1.636151999999999884e-01
1.000000000000000000e+05,3.581780999999999882e+00,1.502220999999999973e-01
1.000000000000000000e+06,5.211620700000000106e+00,8.078159999999999508e-02
