# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.375100000000000211e-02,2.997060000000000002e-02
2.000000000000000000e+02,1.170737000000000028e-01,4.866979999999999917e-02
5.000000000000000000e+02,2.834014999999999729e-01,4.948489999999999833e-02
1.000000000000000000e+03,4.448131000000000168e-01,7.771880000000000455e-02
2.000000000000000000e+03,5.857145999999999741e-01,6.519719999999999682e-02
5.000000000000000000e+03,7.741400999999999977e-01,4.460879999999999707e-02
1.000000000000000000e+04,8.292369000000000545e-01,4.406970000000000331e-02
2.000000000000000000e+04,8.834649999999999448e-01,3.189750000000000224e-02
5.000000000000000000e+04,9.241907999999999790e-01,2.144630000000000147e-02
1.000000000000000000e+05,9.574559000000000264e-01,2.587650000000000020e-02
1.000000000000000000e+06,9.414548000000000361e-01,1.577800000000000036e-02
