# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.065999999999999819e-04,4.594299999999999946e-03
2.000000000000000000e+02,1.560100000000000028e-03,6.519200000000000168e-03
5.000000000000000000e+02,3.721799999999999935e-03,1.001980000000000058e-02
1.000000000000000000e+03,7.659199999999999689e-03,1.428510000000000023e-02
2.000000000000000000e+03,1.527309999999999952e-02,2.009160000000000112e-02
5.000000000000000000e+03,3.829319999999999946e-02,3.136440000000000061e-02
1.000000000000000000e+04,7.173050000000000259e-02,3.900030000000000163e-02
2.000000000000000000e+04,1.432346999999999926e-01,5.058959999999999846e-02
5.000000000000000000e+04,3.131442999999999866e-01,7.029929999999999513e-02
1.000000000000000000e+05,5.148169000000000217e-01,8.369250000000000300e-02
