# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.478799999999999858e-03,1.599669999999999911e-02
2.000000000000000000e+02,1.478050000000000024e-02,2.247909999999999839e-02
5.000000000000000000e+02,3.770020000000000315e-02,3.191669999999999924e-02
1.000000000000000000e+03,7.069930000000000658e-02,4.392780000000000296e-02
2.000000000000000000e+03,1.418581999999999899e-01,5.987859999999999711e-02
5.000000000000000000e+03,3.333269999999999844e-01,8.953759999999999497e-02
1.000000000000000000e+04,5.981326000000000143e-01,1.148745999999999934e-01
2.000000000000000000e+04,9.353979999999999517e-01,1.188528999999999974e-01
5.000000000000000000e+04,1.542093900000000017e+00,1.288478000000000123e-01
1.000000000000000000e+05,1.913453700000000035e+00,1.122887000000000052e-01
1.000000000000000000e+06,2.966095500000000218e+00,1.225051999999999947e-01
