# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.348999999999999905e-04,2.817899999999999919e-03
2.000000000000000000e+02,4.425000000000000222e-04,3.945099999999999996e-03
5.000000000000000000e+02,1.211899999999999913e-03,6.470700000000000236e-03
1.000000000000000000e+03,2.294299999999999985e-03,8.814999999999999919e-03
2.000000000000000000e+03,4.517199999999999861e-03,1.242799999999999981e-02
5.000000000000000000e+03,1.155340000000000013e-02,1.981420000000000056e-02
1.000000000000000000e+04,2.256220000000000100e-02,2.761080000000000131e-02
2.000000000000000000e+04,4.395349999999999951e-02,3.261529999999999985e-02
5.000000000000000000e+04,1.064795999999999937e-01,5.161099999999999716e-02
1.000000000000000000e+05,2.175303000000000098e-01,7.047209999999999586e-02
