# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.150999999999999971e-04,2.946799999999999854e-03
2.000000000000000000e+02,3.611999999999999976e-04,3.811800000000000171e-03
5.000000000000000000e+02,1.095800000000000073e-03,6.702299999999999577e-03
1.000000000000000000e+03,2.046500000000000142e-03,9.119000000000000369e-03
2.000000000000000000e+03,3.969300000000000259e-03,1.261649999999999924e-02
5.000000000000000000e+03,9.534199999999999620e-03,1.973139999999999963e-02
1.000000000000000000e+04,1.937149999999999983e-02,2.793870000000000034e-02
2.000000000000000000e+04,4.015119999999999800e-02,4.066630000000000245e-02
5.000000000000000000e+04,9.800580000000000402e-02,6.362919999999999687e-02
1.000000000000000000e+05,1.927201000000000053e-01,7.726919999999999622e-02
