# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.704999999999999973e-04,2.624700000000000210e-03
2.000000000000000000e+02,4.464000000000000086e-04,4.233200000000000331e-03
5.000000000000000000e+02,9.947999999999998944e-04,6.302099999999999716e-03
1.000000000000000000e+03,2.041499999999999912e-03,9.036100000000000035e-03
2.000000000000000000e+03,3.952999999999999917e-03,1.268670000000000041e-02
5.000000000000000000e+03,1.010980000000000038e-02,2.020529999999999896e-02
1.000000000000000000e+04,1.994780000000000164e-02,2.892489999999999992e-02
2.000000000000000000e+04,3.933140000000000247e-02,4.011490000000000195e-02
5.000000000000000000e+04,9.649190000000000544e-02,6.233260000000000189e-02
1.000000000000000000e+05,1.896112000000000075e-01,7.540049999999999530e-02
