# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.957999999999999888e-04,2.761500000000000066e-03
2.000000000000000000e+02,4.188999999999999907e-04,4.028099999999999736e-03
5.000000000000000000e+02,8.773999999999999681e-04,5.899899999999999589e-03
1.000000000000000000e+03,2.075000000000000022e-03,8.961300000000000168e-03
2.000000000000000000e+03,3.558799999999999984e-03,1.181280000000000004e-02
5.000000000000000000e+03,9.161400000000000099e-03,1.885130000000000139e-02
1.000000000000000000e+04,1.860070000000000126e-02,2.671990000000000129e-02
2.000000000000000000e+04,3.720919999999999783e-02,3.823080000000000228e-02
5.000000000000000000e+04,9.008270000000000166e-02,5.985839999999999911e-02
1.000000000000000000e+05,1.818645000000000123e-01,7.302820000000000145e-02
