# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.498047999999999880e-01,7.371840000000000337e-02
2.000000000000000000e+02,2.909452000000000149e-01,9.678059999999999441e-02
5.000000000000000000e+02,6.546729000000000021e-01,1.393498999999999988e-01
1.000000000000000000e+03,1.150896499999999989e+00,1.700309000000000126e-01
2.000000000000000000e+03,1.930922699999999992e+00,2.038265999999999967e-01
5.000000000000000000e+03,3.317505099999999985e+00,2.224151000000000045e-01
1.000000000000000000e+04,4.358553500000000192e+00,1.946460000000000135e-01
2.000000000000000000e+04,5.266655199999999759e+00,1.861933000000000060e-01
5.000000000000000000e+04,6.181232299999999569e+00,1.511291999999999913e-01
1.000000000000000000e+05,6.693887199999999815e+00,1.372755999999999976e-01
1.000000000000000000e+06,7.877769899999999659e+00,1.193738000000000021e-01
