# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.395999999999999964e-04,2.337000000000000102e-03
2.000000000000000000e+02,5.086000000000000026e-04,3.397900000000000139e-03
5.000000000000000000e+02,1.198099999999999903e-03,5.164300000000000140e-03
1.000000000000000000e+03,2.213099999999999963e-03,7.138300000000000201e-03
2.000000000000000000e+03,4.747200000000000031e-03,9.044999999999999221e-03
5.000000000000000000e+03,1.172319999999999959e-02,1.382829999999999997e-02
1.000000000000000000e+04,2.390300000000000064e-02,2.038859999999999978e-02
2.000000000000000000e+04,4.167320000000000052e-02,2.618490000000000054e-02
5.000000000000000000e+04,1.106638000000000066e-01,4.113220000000000071e-02
1.000000000000000000e+05,1.955224000000000129e-01,5.200280000000000180e-02
1.000000000000000000e+06,9.021592000000000500e-01,9.468429999999999902e-02
