# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+03,6.700000000000000226e-06,3.891999999999999735e-04
2.000000000000000000e+03,2.200000000000000112e-06,2.246999999999999865e-04
5.000000000000000000e+03,4.500000000000000114e-06,3.178000000000000269e-04
1.000000000000000000e+04,2.019999999999999972e-05,6.738999999999999548e-04
2.000000000000000000e+04,6.739999999999999843e-05,1.229099999999999897e-03
5.000000000000000000e+04,1.325999999999999976e-04,1.721199999999999987e-03
1.000000000000000000e+05,2.697999999999999986e-04,2.468300000000000095e-03
