# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.689300000000000024e-02,2.722300000000000067e-02
2.000000000000000000e+02,5.488040000000000279e-02,3.803290000000000143e-02
5.000000000000000000e+02,1.382644000000000095e-01,6.046639999999999654e-02
1.000000000000000000e+03,2.686485000000000123e-01,8.670750000000000679e-02
2.000000000000000000e+03,5.867858000000000240e-01,1.273341000000000056e-01
5.000000000000000000e+03,1.557340200000000063e+00,2.279289999999999927e-01
1.000000000000000000e+04,3.656238399999999888e+00,3.309764000000000039e-01
2.000000000000000000e+04,7.050701100000000388e+00,3.441788000000000070e-01
5.000000000000000000e+04,9.996903299999999604e+00,2.386541000000000079e-01
1.000000000000000000e+05,1.123573479999999947e+01,1.691062999999999872e-01
1.000000000000000000e+06,1.358957219999999921e+01,1.191924000000000039e-01
