# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.536999999999999867e-04,2.563000000000000174e-03
2.000000000000000000e+02,4.419000000000000076e-04,3.370699999999999912e-03
5.000000000000000000e+02,1.158500000000000025e-03,5.531099999999999732e-03
1.000000000000000000e+03,2.209700000000000206e-03,7.541100000000000234e-03
2.000000000000000000e+03,4.599800000000000243e-03,1.101919999999999983e-02
5.000000000000000000e+03,1.190880000000000064e-02,1.771690000000000070e-02
1.000000000000000000e+04,2.378109999999999946e-02,2.472819999999999879e-02
2.000000000000000000e+04,4.656060000000000060e-02,3.444819999999999827e-02
5.000000000000000000e+04,1.144701000000000052e-01,5.384660000000000141e-02
1.000000000000000000e+05,2.233393999999999935e-01,6.645420000000000493e-02
