# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.869750000000000273e-02,2.959660000000000069e-02
2.000000000000000000e+02,6.946209999999999885e-02,3.779319999999999902e-02
5.000000000000000000e+02,1.588218000000000130e-01,5.188770000000000188e-02
1.000000000000000000e+03,2.849841000000000180e-01,6.439780000000000504e-02
2.000000000000000000e+03,4.465759999999999730e-01,7.879039999999999655e-02
5.000000000000000000e+03,7.256928000000000267e-01,7.760469999999999868e-02
1.000000000000000000e+04,9.612981000000000442e-01,8.503910000000000635e-02
2.000000000000000000e+04,1.272156999999999982e+00,1.021047000000000066e-01
5.000000000000000000e+04,1.770143400000000034e+00,1.155217000000000049e-01
1.000000000000000000e+05,2.144446199999999969e+00,1.068749999999999978e-01
1.000000000000000000e+06,3.075808799999999898e+00,9.435040000000000093e-02
