# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.800000000000000209e-04,3.335799999999999876e-03
2.000000000000000000e+02,6.708000000000000421e-04,4.399899999999999992e-03
5.000000000000000000e+02,1.629500000000000089e-03,6.849000000000000053e-03
1.000000000000000000e+03,3.365500000000000002e-03,9.924399999999999888e-03
2.000000000000000000e+03,6.256000000000000276e-03,1.326450000000000025e-02
5.000000000000000000e+03,1.600120000000000015e-02,2.138359999999999914e-02
1.000000000000000000e+04,3.132580000000000087e-02,2.926259999999999972e-02
2.000000000000000000e+04,6.124860000000000027e-02,3.625969999999999888e-02
5.000000000000000000e+04,1.423264999999999947e-01,5.425760000000000305e-02
1.000000000000000000e+05,2.598225000000000118e-01,6.938220000000000498e-02
