# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.309000000000000201e-04,3.595099999999999945e-03
2.000000000000000000e+02,6.696999999999999611e-04,5.152799999999999915e-03
5.000000000000000000e+02,1.528400000000000071e-03,7.708500000000000074e-03
1.000000000000000000e+03,2.966200000000000000e-03,1.081870000000000054e-02
2.000000000000000000e+03,6.464100000000000401e-03,1.595090000000000049e-02
5.000000000000000000e+03,1.572109999999999827e-02,2.453100000000000072e-02
1.000000000000000000e+04,3.224189999999999695e-02,3.516570000000000112e-02
2.000000000000000000e+04,6.196659999999999668e-02,4.316740000000000160e-02
5.000000000000000000e+04,1.519484000000000112e-01,6.544179999999999442e-02
1.000000000000000000e+05,2.919103000000000114e-01,9.004310000000000092e-02
