# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.110000000000000618e-05,1.559400000000000066e-03
2.000000000000000000e+02,1.743000000000000083e-04,2.282000000000000174e-03
5.000000000000000000e+02,4.958999999999999650e-04,3.828199999999999919e-03
1.000000000000000000e+03,9.977000000000000191e-04,5.516599999999999976e-03
2.000000000000000000e+03,2.043500000000000177e-03,7.812099999999999773e-03
5.000000000000000000e+03,4.970600000000000365e-03,1.228240000000000061e-02
1.000000000000000000e+04,1.018149999999999958e-02,1.755939999999999931e-02
2.000000000000000000e+04,2.014670000000000002e-02,2.449099999999999888e-02
5.000000000000000000e+04,4.990180000000000310e-02,3.839959999999999901e-02
1.000000000000000000e+05,1.001642999999999978e-01,5.416519999999999668e-02
