# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.691199999999999950e-03,1.208580000000000071e-02
2.000000000000000000e+02,6.988499999999999920e-03,1.647639999999999869e-02
5.000000000000000000e+02,1.754220000000000085e-02,2.646190000000000001e-02
1.000000000000000000e+03,3.807839999999999836e-02,3.849129999999999913e-02
2.000000000000000000e+03,7.402559999999999696e-02,4.540700000000000292e-02
5.000000000000000000e+03,1.849143000000000037e-01,7.370010000000000450e-02
1.000000000000000000e+04,3.921181999999999723e-01,1.066122000000000042e-01
2.000000000000000000e+04,8.050009999999999666e-01,1.521234999999999948e-01
5.000000000000000000e+04,2.299620099999999834e+00,2.737029000000000267e-01
1.000000000000000000e+05,4.107851300000000094e+00,2.559662999999999800e-01
1.000000000000000000e+06,6.557578699999999650e+00,1.147631999999999958e-01
