# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.880000000000000448e-05,1.760000000000000063e-03
2.000000000000000000e+02,2.560999999999999908e-04,3.165700000000000024e-03
5.000000000000000000e+02,6.026999999999999589e-04,4.899099999999999983e-03
1.000000000000000000e+03,1.244899999999999956e-03,6.936200000000000004e-03
2.000000000000000000e+03,2.316400000000000143e-03,9.612700000000000064e-03
5.000000000000000000e+03,5.853999999999999829e-03,1.504830000000000056e-02
1.000000000000000000e+04,1.221610000000000057e-02,2.183939999999999840e-02
2.000000000000000000e+04,2.472380000000000064e-02,3.112689999999999901e-02
5.000000000000000000e+04,6.055279999999999690e-02,4.832220000000000265e-02
1.000000000000000000e+05,1.222204999999999958e-01,6.901740000000000652e-02
