# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.662400000000000076e-03,8.036700000000000788e-03
2.000000000000000000e+02,3.179099999999999808e-03,1.109959999999999940e-02
5.000000000000000000e+02,8.245199999999999405e-03,1.791869999999999921e-02
1.000000000000000000e+03,1.678980000000000056e-02,2.587909999999999863e-02
2.000000000000000000e+03,3.246480000000000199e-02,3.555439999999999989e-02
5.000000000000000000e+03,8.473690000000000389e-02,5.161240000000000272e-02
1.000000000000000000e+04,1.666335999999999928e-01,6.896599999999999953e-02
2.000000000000000000e+04,3.421938999999999953e-01,1.042802000000000034e-01
5.000000000000000000e+04,8.651988000000000456e-01,1.521939999999999960e-01
1.000000000000000000e+05,1.820067799999999902e+00,2.354643999999999904e-01
1.000000000000000000e+06,5.731628200000000284e+00,1.559100999999999959e-01
