# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.826000000000000491e-04,4.511700000000000432e-03
2.000000000000000000e+02,1.641400000000000107e-03,6.528499999999999581e-03
5.000000000000000000e+02,3.886899999999999990e-03,1.027600000000000041e-02
1.000000000000000000e+03,7.941900000000000001e-03,1.438840000000000084e-02
2.000000000000000000e+03,1.536110000000000080e-02,2.022389999999999952e-02
5.000000000000000000e+03,4.084650000000000086e-02,2.856240000000000168e-02
1.000000000000000000e+04,7.885670000000000179e-02,4.148269999999999735e-02
2.000000000000000000e+04,1.616843000000000030e-01,5.625879999999999770e-02
5.000000000000000000e+04,4.125497000000000192e-01,8.851309999999999734e-02
1.000000000000000000e+05,8.004615000000000480e-01,1.317474999999999896e-01
1.000000000000000000e+06,4.700050799999999640e+00,1.638612999999999875e-01
