# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.334000000000000179e-04,3.687699999999999919e-03
2.000000000000000000e+02,7.054000000000000157e-04,4.646599999999999862e-03
5.000000000000000000e+02,1.834300000000000080e-03,7.419099999999999653e-03
1.000000000000000000e+03,3.775399999999999937e-03,1.066920000000000021e-02
2.000000000000000000e+03,7.715699999999999815e-03,1.530600000000000016e-02
5.000000000000000000e+03,1.870629999999999862e-02,2.380749999999999880e-02
1.000000000000000000e+04,3.828859999999999902e-02,3.391999999999999876e-02
2.000000000000000000e+04,7.586310000000000275e-02,4.805679999999999674e-02
5.000000000000000000e+04,1.886903000000000052e-01,6.751930000000000431e-02
1.000000000000000000e+05,3.694069999999999854e-01,9.216119999999999868e-02
