# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.490000000000000280e-05,1.791499999999999907e-03
2.000000000000000000e+02,1.899000000000000080e-04,2.529899999999999857e-03
5.000000000000000000e+02,5.391000000000000392e-04,4.240899999999999705e-03
1.000000000000000000e+03,1.061199999999999991e-03,5.942199999999999913e-03
2.000000000000000000e+03,2.003700000000000186e-03,8.277200000000000182e-03
5.000000000000000000e+03,5.265099999999999988e-03,1.344120000000000037e-02
1.000000000000000000e+04,1.030310000000000080e-02,1.851179999999999840e-02
2.000000000000000000e+04,2.092480000000000034e-02,2.668359999999999829e-02
5.000000000000000000e+04,4.991849999999999760e-02,4.081649999999999862e-02
1.000000000000000000e+05,1.001828000000000024e-01,5.054220000000000240e-02
