# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.410000000000000129e-05,6.424000000000000023e-04
2.000000000000000000e+02,9.110000000000000530e-05,9.395000000000000139e-04
5.000000000000000000e+02,2.093999999999999941e-04,1.399400000000000080e-03
1.000000000000000000e+03,4.198000000000000126e-04,1.972300000000000181e-03
2.000000000000000000e+03,8.453000000000000010e-04,2.784500000000000083e-03
5.000000000000000000e+03,2.040800000000000166e-03,4.349500000000000068e-03
1.000000000000000000e+04,4.223499999999999824e-03,6.304899999999999567e-03
2.000000000000000000e+04,8.268499999999999808e-03,8.927100000000000313e-03
5.000000000000000000e+04,2.066849999999999937e-02,1.196509999999999935e-02
1.000000000000000000e+05,4.059689999999999827e-02,1.690670000000000020e-02
