# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.830000000000000500e-05,1.880399999999999953e-03
2.000000000000000000e+02,9.629999999999999617e-05,1.963799999999999921e-03
5.000000000000000000e+02,2.288000000000000049e-04,3.074299999999999863e-03
1.000000000000000000e+03,4.093999999999999766e-04,4.150700000000000223e-03
2.000000000000000000e+03,9.110000000000000259e-04,6.137400000000000320e-03
5.000000000000000000e+03,2.472300000000000192e-03,9.961499999999999869e-03
1.000000000000000000e+04,4.862700000000000182e-03,1.402340000000000010e-02
2.000000000000000000e+04,9.503799999999999748e-03,1.941129999999999939e-02
5.000000000000000000e+04,2.482310000000000072e-02,2.678209999999999966e-02
1.000000000000000000e+05,4.792430000000000301e-02,3.889039999999999858e-02
