# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.299999999999999990e-05,1.312699999999999978e-03
2.000000000000000000e+02,1.479999999999999925e-04,2.008300000000000189e-03
5.000000000000000000e+02,3.727000000000000061e-04,3.174000000000000172e-03
1.000000000000000000e+03,6.495000000000000122e-04,4.222100000000000332e-03
2.000000000000000000e+03,1.367399999999999952e-03,6.152699999999999662e-03
5.000000000000000000e+03,3.269199999999999884e-03,9.455899999999999722e-03
1.000000000000000000e+04,6.672800000000000432e-03,1.361949999999999966e-02
2.000000000000000000e+04,1.318380000000000073e-02,1.915590000000000001e-02
5.000000000000000000e+04,3.170039999999999664e-02,2.590630000000000016e-02
1.000000000000000000e+05,6.267580000000000373e-02,3.529729999999999673e-02
