# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.741999999999999533e-04,7.513599999999999619e-03
2.000000000000000000e+02,1.490100000000000062e-03,1.037279999999999973e-02
5.000000000000000000e+02,3.647899999999999927e-03,1.632130000000000039e-02
1.000000000000000000e+03,7.340000000000000170e-03,2.349930000000000074e-02
2.000000000000000000e+03,1.383990000000000047e-02,3.157120000000000065e-02
5.000000000000000000e+03,3.664839999999999764e-02,5.202629999999999755e-02
1.000000000000000000e+04,7.437280000000000280e-02,7.449799999999999478e-02
2.000000000000000000e+04,1.486424000000000079e-01,1.064147000000000010e-01
5.000000000000000000e+04,3.745937999999999768e-01,1.496757999999999977e-01
1.000000000000000000e+05,7.506690999999999780e-01,2.069315999999999933e-01
1.000000000000000000e+06,8.163537099999999214e+00,6.870918999999999777e-01
