# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.852999999999999959e-04,6.218699999999999749e-03
2.000000000000000000e+02,5.841000000000000488e-04,8.888899999999999926e-03
5.000000000000000000e+02,1.562199999999999917e-03,1.448389999999999921e-02
1.000000000000000000e+03,2.445199999999999804e-03,1.816279999999999978e-02
2.000000000000000000e+03,4.849700000000000191e-03,2.578420000000000017e-02
5.000000000000000000e+03,1.328580000000000039e-02,4.214199999999999890e-02
1.000000000000000000e+04,2.563340000000000063e-02,5.904349999999999876e-02
2.000000000000000000e+04,5.101030000000000147e-02,8.215060000000000417e-02
5.000000000000000000e+04,1.315400999999999931e-01,1.331083999999999878e-01
1.000000000000000000e+05,2.578567999999999971e-01,1.853077999999999947e-01
