# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.004073000000000049e-01,4.745209999999999706e-02
2.000000000000000000e+02,2.053979999999999972e-01,6.774209999999999954e-02
5.000000000000000000e+02,4.389233000000000162e-01,8.959799999999999709e-02
1.000000000000000000e+03,7.230166000000000093e-01,1.039892000000000039e-01
2.000000000000000000e+03,1.073800400000000099e+00,1.195148000000000044e-01
5.000000000000000000e+03,1.639638099999999987e+00,1.166169999999999984e-01
1.000000000000000000e+04,2.011626000000000136e+00,1.101961000000000052e-01
2.000000000000000000e+04,2.281510700000000114e+00,9.602510000000000212e-02
5.000000000000000000e+04,2.629232800000000037e+00,8.792310000000000403e-02
1.000000000000000000e+05,2.826746899999999840e+00,7.315009999999999568e-02
1.000000000000000000e+06,3.419324099999999866e+00,8.813809999999999700e-02
