# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.935180000000000081e-02,2.609409999999999855e-02
2.000000000000000000e+02,5.834519999999999984e-02,3.503459999999999908e-02
5.000000000000000000e+02,1.444763000000000019e-01,5.734859999999999958e-02
1.000000000000000000e+03,2.871155000000000235e-01,7.754060000000000119e-02
2.000000000000000000e+03,5.338135000000000518e-01,9.607090000000000074e-02
5.000000000000000000e+03,1.140023699999999973e+00,1.393630999999999898e-01
1.000000000000000000e+04,1.866560500000000067e+00,1.529388000000000136e-01
2.000000000000000000e+04,2.789100299999999866e+00,1.965497999999999967e-01
5.000000000000000000e+04,4.114975499999999897e+00,1.720509000000000066e-01
1.000000000000000000e+05,4.929434800000000116e+00,1.477110000000000090e-01
1.000000000000000000e+06,6.621721899999999827e+00,9.690799999999999415e-02
