# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.335999999999999773e-04,2.658900000000000065e-03
2.000000000000000000e+02,6.543000000000000205e-04,3.757599999999999829e-03
5.000000000000000000e+02,1.622900000000000037e-03,5.930500000000000008e-03
1.000000000000000000e+03,3.362099999999999811e-03,8.490599999999999190e-03
2.000000000000000000e+03,6.788800000000000216e-03,1.188179999999999965e-02
5.000000000000000000e+03,1.661899999999999836e-02,1.881340000000000096e-02
1.000000000000000000e+04,3.372019999999999879e-02,2.728910000000000016e-02
2.000000000000000000e+04,6.649969999999999493e-02,3.324909999999999671e-02
5.000000000000000000e+04,1.633360000000000090e-01,5.140870000000000162e-02
1.000000000000000000e+05,3.107701999999999964e-01,6.680709999999999427e-02
