# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.877000000000000000e-04,3.183699999999999811e-03
2.000000000000000000e+02,4.368999999999999945e-04,3.946999999999999988e-03
5.000000000000000000e+02,1.211800000000000073e-03,6.564099999999999796e-03
1.000000000000000000e+03,2.475600000000000109e-03,9.265000000000000666e-03
2.000000000000000000e+03,4.990399999999999871e-03,1.327839999999999923e-02
5.000000000000000000e+03,1.226810000000000053e-02,2.096800000000000053e-02
1.000000000000000000e+04,2.515430000000000096e-02,2.990430000000000171e-02
2.000000000000000000e+04,4.873500000000000054e-02,4.034820000000000073e-02
5.000000000000000000e+04,1.169305999999999957e-01,5.461810000000000276e-02
1.000000000000000000e+05,2.264693999999999874e-01,7.340589999999999615e-02
