# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.804720000000000130e-02,3.542229999999999684e-02
2.000000000000000000e+02,5.529080000000000106e-02,5.021930000000000144e-02
5.000000000000000000e+02,1.333823000000000092e-01,6.971710000000000407e-02
1.000000000000000000e+03,2.715099000000000262e-01,9.142369999999999663e-02
2.000000000000000000e+03,5.124262000000000539e-01,1.240929000000000060e-01
5.000000000000000000e+03,1.097603099999999943e+00,1.614195999999999964e-01
1.000000000000000000e+04,1.832555099999999992e+00,2.037500999999999896e-01
2.000000000000000000e+04,2.636849799999999799e+00,1.955899000000000110e-01
5.000000000000000000e+04,3.631048400000000065e+00,1.667741000000000084e-01
1.000000000000000000e+05,4.101429200000000108e+00,1.347595000000000043e-01
1.000000000000000000e+06,4.863094300000000203e+00,7.885250000000000592e-02
