# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.426699999999999930e-03,8.000800000000000620e-03
2.000000000000000000e+02,2.424599999999999846e-03,1.047410000000000008e-02
5.000000000000000000e+02,6.284900000000000382e-03,1.714649999999999855e-02
1.000000000000000000e+03,1.299419999999999915e-02,2.416149999999999895e-02
2.000000000000000000e+03,2.582970000000000058e-02,3.427150000000000335e-02
5.000000000000000000e+03,6.334549999999999903e-02,5.331509999999999722e-02
1.000000000000000000e+04,1.262846999999999997e-01,6.525069999999999482e-02
2.000000000000000000e+04,2.413768000000000025e-01,9.317849999999999744e-02
5.000000000000000000e+04,5.509346999999999994e-01,1.302650999999999948e-01
1.000000000000000000e+05,9.386375000000000135e-01,1.541686999999999919e-01
