# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,1.160000000000000075e-05,5.823000000000000051e-04
1.000000000000000000e+03,5.800000000000000373e-06,4.117999999999999807e-04
2.000000000000000000e+03,1.460000000000000082e-05,6.511000000000000511e-04
5.000000000000000000e+03,5.819999999999999843e-05,1.301099999999999913e-03
1.000000000000000000e+04,9.029999999999999941e-05,1.618999999999999996e-03
2.000000000000000000e+04,1.834999999999999880e-04,2.304300000000000011e-03
5.000000000000000000e+04,4.487000000000000103e-04,3.610599999999999834e-03
1.000000000000000000e+05,9.056999999999999513e-04,5.072199999999999799e-03
