# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.983549999999999897e-02,3.317500000000000310e-02
2.000000000000000000e+02,3.959569999999999756e-02,4.735160000000000063e-02
5.000000000000000000e+02,1.024889999999999968e-01,6.572189999999999976e-02
1.000000000000000000e+03,2.037000999999999951e-01,9.082919999999999883e-02
2.000000000000000000e+03,4.182736000000000232e-01,1.320395000000000041e-01
5.000000000000000000e+03,1.097216699999999934e+00,2.153322000000000014e-01
1.000000000000000000e+04,2.190868099999999874e+00,3.043828000000000089e-01
2.000000000000000000e+04,3.946546899999999969e+00,3.333563999999999972e-01
5.000000000000000000e+04,6.090354999999999741e+00,2.582563999999999971e-01
1.000000000000000000e+05,7.125250099999999698e+00,2.436339999999999895e-01
1.000000000000000000e+06,9.059968200000000138e+00,1.167438999999999977e-01
