# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.320999999999999909e-03,5.273700000000000089e-03
2.000000000000000000e+02,2.511799999999999797e-03,7.381699999999999720e-03
5.000000000000000000e+02,5.928400000000000336e-03,1.115909999999999992e-02
1.000000000000000000e+03,1.202340000000000006e-02,1.589530000000000109e-02
2.000000000000000000e+03,2.398269999999999916e-02,1.954950000000000090e-02
5.000000000000000000e+03,6.055470000000000297e-02,3.092670000000000141e-02
1.000000000000000000e+04,1.175169999999999965e-01,4.296350000000000169e-02
2.000000000000000000e+04,2.123915000000000108e-01,5.164980000000000265e-02
5.000000000000000000e+04,4.341281000000000168e-01,6.620950000000000446e-02
1.000000000000000000e+05,6.771983000000000308e-01,8.215820000000000067e-02
