# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.043199999999999461e-02,3.450099999999999695e-02
2.000000000000000000e+02,1.516423000000000076e-01,4.854809999999999681e-02
5.000000000000000000e+02,3.447863999999999929e-01,7.554669999999999441e-02
1.000000000000000000e+03,5.706067999999999696e-01,8.011949999999999628e-02
2.000000000000000000e+03,9.162462999999999580e-01,1.021940999999999961e-01
5.000000000000000000e+03,1.513922800000000013e+00,1.051699999999999996e-01
1.000000000000000000e+04,1.978645200000000104e+00,1.231073000000000028e-01
2.000000000000000000e+04,2.450334199999999907e+00,1.013614999999999933e-01
5.000000000000000000e+04,2.924207700000000187e+00,8.757629999999999582e-02
1.000000000000000000e+05,3.272762600000000077e+00,8.666540000000000354e-02
1.000000000000000000e+06,3.834422899999999856e+00,5.110850000000000115e-02
