# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.452520000000000026e-02,2.431550000000000031e-02
2.000000000000000000e+02,3.009099999999999969e-02,3.492800000000000071e-02
5.000000000000000000e+02,7.901859999999999440e-02,4.948679999999999746e-02
1.000000000000000000e+03,1.569364000000000037e-01,6.830949999999999522e-02
2.000000000000000000e+03,2.966831999999999803e-01,9.098269999999999968e-02
5.000000000000000000e+03,7.235103999999999980e-01,1.324826000000000059e-01
1.000000000000000000e+04,1.289441400000000071e+00,1.825536000000000103e-01
2.000000000000000000e+04,2.276430299999999907e+00,1.942180000000000017e-01
5.000000000000000000e+04,3.815809799999999807e+00,1.911075999999999886e-01
1.000000000000000000e+05,5.000040799999999841e+00,1.870720999999999912e-01
1.000000000000000000e+06,6.866086000000000134e+00,1.116204999999999975e-01
