# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.999999999999999754e-04,5.973000000000000011e-03
2.000000000000000000e+02,1.905500000000000076e-03,8.708600000000000368e-03
5.000000000000000000e+02,4.443899999999999760e-03,1.332430000000000073e-02
1.000000000000000000e+03,9.293700000000000225e-03,1.920269999999999963e-02
2.000000000000000000e+03,1.767610000000000015e-02,2.633819999999999911e-02
5.000000000000000000e+03,4.496180000000000315e-02,4.169930000000000164e-02
1.000000000000000000e+04,8.789439999999999753e-02,5.137570000000000331e-02
2.000000000000000000e+04,1.690545999999999993e-01,7.016590000000000327e-02
5.000000000000000000e+04,4.068786999999999821e-01,1.047031999999999963e-01
1.000000000000000000e+05,7.218174000000000534e-01,1.340418999999999916e-01
