# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.698000000000000074e-04,1.939900000000000044e-03
2.000000000000000000e+02,2.904000000000000114e-04,2.549899999999999910e-03
5.000000000000000000e+02,7.571999999999999738e-04,4.103700000000000056e-03
1.000000000000000000e+03,1.438499999999999892e-03,5.679700000000000200e-03
2.000000000000000000e+03,2.774299999999999943e-03,7.928199999999999831e-03
5.000000000000000000e+03,7.273100000000000225e-03,1.267509999999999991e-02
1.000000000000000000e+04,1.474499999999999943e-02,1.798920000000000033e-02
2.000000000000000000e+04,2.905440000000000106e-02,2.520750000000000074e-02
5.000000000000000000e+04,6.953660000000000396e-02,3.409770000000000162e-02
1.000000000000000000e+05,1.311723999999999946e-01,4.528120000000000062e-02
