# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.691129999999999911e-02,1.738040000000000071e-02
2.000000000000000000e+02,5.299650000000000194e-02,2.393069999999999919e-02
5.000000000000000000e+02,1.229091999999999962e-01,3.458900000000000169e-02
1.000000000000000000e+03,2.307135999999999909e-01,4.561099999999999877e-02
2.000000000000000000e+03,3.983689999999999731e-01,5.704970000000000180e-02
5.000000000000000000e+03,7.435918999999999723e-01,6.546789999999999554e-02
1.000000000000000000e+04,9.999679000000000206e-01,6.264200000000000323e-02
2.000000000000000000e+04,1.218369299999999988e+00,5.172290000000000221e-02
5.000000000000000000e+04,1.384876400000000007e+00,4.149420000000000192e-02
1.000000000000000000e+05,1.476048000000000027e+00,3.502079999999999776e-02
1.000000000000000000e+06,1.815637600000000074e+00,3.656469999999999859e-02
