# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.123039000000000009e-01,1.073724999999999957e-01
2.000000000000000000e+02,7.708277999999999519e-01,1.544437999999999922e-01
5.000000000000000000e+02,1.660530199999999956e+00,1.857602999999999893e-01
1.000000000000000000e+03,2.623767099999999797e+00,2.124668999999999863e-01
2.000000000000000000e+03,3.999961100000000158e+00,2.495165000000000022e-01
5.000000000000000000e+03,5.848562499999999886e+00,2.496323000000000014e-01
1.000000000000000000e+04,7.139356699999999556e+00,2.266622000000000081e-01
2.000000000000000000e+04,8.218037100000000095e+00,2.298824999999999896e-01
5.000000000000000000e+04,9.546233600000000763e+00,1.874930999999999959e-01
1.000000000000000000e+05,1.046456230000000076e+01,2.009065999999999907e-01
1.000000000000000000e+06,1.261008870000000037e+01,2.549488999999999783e-01
