# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.971000000000000029e-04,4.262700000000000343e-03
2.000000000000000000e+02,7.900999999999999603e-04,5.918800000000000103e-03
5.000000000000000000e+02,2.039700000000000193e-03,9.695199999999999305e-03
1.000000000000000000e+03,4.354799999999999817e-03,1.411169999999999959e-02
2.000000000000000000e+03,8.885499999999999302e-03,1.986270000000000049e-02
5.000000000000000000e+03,2.266299999999999912e-02,3.140899999999999942e-02
1.000000000000000000e+04,4.418400000000000105e-02,4.452899999999999914e-02
2.000000000000000000e+04,8.501960000000000073e-02,6.123920000000000058e-02
5.000000000000000000e+04,2.123710000000000042e-01,8.418390000000000595e-02
1.000000000000000000e+05,4.117839999999999834e-01,1.161410999999999971e-01
