# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.121849999999999931e-02,1.766739999999999977e-02
2.000000000000000000e+02,2.315870000000000081e-02,2.513479999999999881e-02
5.000000000000000000e+02,5.594539999999999930e-02,3.326910000000000284e-02
1.000000000000000000e+03,1.114295000000000008e-01,4.978239999999999749e-02
2.000000000000000000e+03,2.211345000000000116e-01,6.908119999999999539e-02
5.000000000000000000e+03,5.362417999999999907e-01,9.983870000000000244e-02
1.000000000000000000e+04,9.595989000000000324e-01,1.275813000000000086e-01
2.000000000000000000e+04,1.643038999999999916e+00,1.356037999999999966e-01
5.000000000000000000e+04,2.604249900000000117e+00,1.344603000000000048e-01
1.000000000000000000e+05,3.189807200000000176e+00,1.146725999999999995e-01
1.000000000000000000e+06,4.236822300000000041e+00,8.328080000000000205e-02
