# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.676999999999999842e-04,6.347700000000000391e-03
2.000000000000000000e+02,1.048000000000000103e-03,9.469899999999999846e-03
5.000000000000000000e+02,2.338600000000000140e-03,1.409219999999999917e-02
1.000000000000000000e+03,4.815800000000000289e-03,2.025920000000000151e-02
2.000000000000000000e+03,9.562299999999999273e-03,2.891080000000000039e-02
5.000000000000000000e+03,2.430430000000000090e-02,4.642330000000000068e-02
1.000000000000000000e+04,4.859990000000000143e-02,6.515569999999999695e-02
2.000000000000000000e+04,9.822190000000000087e-02,9.285419999999999785e-02
5.000000000000000000e+04,2.382010999999999989e-01,1.427617999999999943e-01
1.000000000000000000e+05,4.779854000000000047e-01,1.774872999999999867e-01
