# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.795000000000000279e-04,6.714300000000000303e-03
2.000000000000000000e+02,1.482900000000000103e-03,9.388799999999999230e-03
5.000000000000000000e+02,3.598699999999999816e-03,1.459769999999999991e-02
1.000000000000000000e+03,7.660499999999999775e-03,2.097090000000000065e-02
2.000000000000000000e+03,1.533860000000000084e-02,2.990980000000000028e-02
5.000000000000000000e+03,3.782780000000000170e-02,4.608580000000000315e-02
1.000000000000000000e+04,7.559109999999999441e-02,6.598329999999999473e-02
2.000000000000000000e+04,1.433223999999999887e-01,7.901579999999999715e-02
5.000000000000000000e+04,3.351725999999999872e-01,1.157024999999999998e-01
1.000000000000000000e+05,5.935046000000000488e-01,1.428467999999999960e-01
